runtime: 6.76
runtime: 0.00
(32, 32)  3   db2 error 6.161e-11 True
         1033043 function calls (1021110 primitive calls) in 15.470 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     3432    0.000    0.000    0.000    0.000 inspect.py:2527(name)
      207    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
      410    0.000    0.000    0.002    0.000 pyparsing.py:1423(copy)
       96    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       13    0.000    0.000    0.001    0.000 enum.py:456(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1330    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1021    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
     2530    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      208    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      218    0.000    0.000    0.003    0.000 typing.py:689(copy_with)
       26    0.000    0.000    0.001    0.000 _backend.py:225(get_defaults)
      456    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
  233/199    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      510    0.000    0.000    0.010    0.000 re.py:198(search)
      188    0.000    0.000    0.000    0.000 colors.py:850(<listcomp>)
      107    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
       87    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       67    0.000    0.000    0.001    0.000 fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.001    0.001 pyplot.py:2138(_setup_pyplot_info_docstrings)
      735    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      836    0.000    0.000    0.000    0.000 inspect.py:513(_is_wrapper)
        4    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      820    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       81    0.000    0.000    0.002    0.000 typing.py:818(__getitem_inner__)
     2160    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      851    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1009    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      426    0.000    0.000    0.003    0.000 colors.py:129(is_color_like)
       54    0.000    0.000    0.002    0.000 deprecation.py:333(_delete_parameter)
      127    0.000    0.000    0.003    0.000 abc.py:84(__new__)
    86/30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.012    0.012 pyparsing.py:27(<module>)
      216    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       36    0.000    0.000    0.003    0.000 __init__.py:1329(_add_data_doc)
      372    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      124    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       70    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.094    0.094 common.py:187(face)
      168    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      217    0.000    0.000    0.002    0.000 typing.py:802(__getitem__)
       68    0.000    0.000    0.000    0.000 {built-in method reshape}
      903    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      201    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       56    0.000    0.000    0.001    0.000 __init__.py:770(_open_file_or_url)
        1    0.000    0.000    0.158    0.158 pyplot.py:4(<module>)
      138    0.000    0.000    0.003    0.000 rcsetup.py:87(f)
        1    0.000    0.000    0.000    0.000 pickletools.py:1(<module>)
       13    0.000    0.000    0.001    0.000 _builtins.py:129(_get_builtin_table)
      459    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
      399    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
       26    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
       14    0.000    0.000    0.000    0.000 function.py:98(__init__)
        1    0.000    0.000    0.000    0.000 six.py:21(<module>)
     2430    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      207    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2073    0.000    0.000    0.000    0.000 inspect.py:2539(kind)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       17    0.000    0.000    0.003    0.000 rcsetup.py:928(validate_cycler)
        2    0.000    0.000    6.765    3.382 matmul_transform_2d.py:316(__call__)
      239    0.000    0.000    0.002    0.000 rcsetup.py:353(validate_color_for_prop_cycle)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      768    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.020    0.020 qt_compat.py:70(_setup_pyqt5)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      772    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
        2    0.000    0.000    0.010    0.005 core.py:1(<module>)
      459    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
     1179    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
    66/63    0.000    0.000    0.158    0.003 <frozen importlib._bootstrap_external>:1099(create_module)
        3    0.000    0.000    1.008    0.336 matmul_transform_2d.py:212(construct_s_2d)
     1008    0.000    0.000    0.001    0.000 colors.py:266(<genexpr>)
       83    0.000    0.000    0.000    0.000 pyparsing.py:3870(__init__)
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       70    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      207    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      903    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      201    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
      683    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      750    0.000    0.000    0.000    0.000 rcsetup.py:234(validator)
     1260    0.000    0.000    0.000    0.000 colors.py:276(<genexpr>)
        1    0.000    0.000    0.009    0.009 core.py:196(read_style_directory)
       31    0.000    0.000    0.001    0.000 _base.py:56(__set_name__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      107    0.000    0.000    0.000    0.000 inspect.py:534(_findclass)
